GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
diazepam	Libervant	11/10/2016	"Treatment of selected, refractory patients with epilepsy who are on stable regimens of antiepileptic drugs (AED) and who require intermittent use of diazepam to control bouts of increased seizure activity (acute repetitive seizures)"	Designated/Approved		Aquestive Therapeutics
hematopoietic stem cells modified with a lentiviral vector containing the CD18 (Integrin Beta 2) gene		11/9/2016	Treatment of leukocyte adhesion deficiency Type I	Designated	Not FDA Approved for Orphan Indication	"Rocket Pharmaceuticals, Inc."
rituximab		11/9/2016	Treatment of Rasmussen's encephalitis	Designated	Not FDA Approved for Orphan Indication	Keck Graduate Institute of Applied Life Sciences
"6-(4-(4-(2,3-dichlorophenyl)-piperazin-1-yl)-butoxy)-2H-benzo[b][1,4]oxazin-3(4H)-one hydrochloride"		11/9/2016	Treatment of pulmonary arterial hypertension (WHO Group 1)	Designated	Not FDA Approved for Orphan Indication	"Reviva Pharmaceuticals, Inc."
NiCord (cord blood-derived exvivo expanded CD34+ cells and the non-expanded cell fraction of the same cord blood unit)		11/9/2016	Treatment of chronic myelogenous leukemia (CML)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Gamida Cell Ltd.
sargramostim	Leukine	11/9/2016	Treatment of individuals acutely exposed to myelosuppressive doses of radiation (hematopoietic syndrome of acute radiation syndrome)	Designated/Approved		"Partner Therapeutics, Inc."
recombinant growth hormone fused to hyFc		11/9/2016	Treatment of growth hormone deficiency.	Designated	Not FDA Approved for Orphan Indication	"Genexine, Inc."
Autologous stromal vascular cell fraction from adipose tissue (central facitily processed)		11/9/2016	Treatment of impaired hand function due to systemic sclerosis	Designated	Not FDA Approved for Orphan Indication	"Lorem Cytori USA, Inc."
riboflavin-vitamin E-TPGS topical solution		11/8/2016	Treatment of keratoconus in patients undergoing crosslinking procedure	Designated	Not FDA Approved for Orphan Indication	Institute of Refractive & Ophthalmic Surgery
aganirsen		11/7/2016	Prevention of corneal graft rejection.	Designated	Not FDA Approved for Orphan Indication	Gene Signal International SA
seladelpar		11/7/2016	Treatment of primary biliary cholangitis	Designated	Not FDA Approved for Orphan Indication	CymaBay Therapeutics
ruxolitinib	JAKAFI	11/3/2016	Treatment of graft versus host disease	Designated/Approved		Incyte Corporation
fosmanogepix		11/3/2016	Treatment of coccidioidomycosis	Designated	Not FDA Approved for Orphan Indication	"Basilea Pharmaceutica Ltd, Allschwil"
veliparib		11/3/2016	Treatment of squamous non-small cell lung cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	AbbVie Inc.
ruxolitinib	Jakafi	11/3/2016	Treatment of graft versus host disease	Designated/Approved		Incyte Corporation
H-(4-amino-3-iodo)-D-Phe-c[Cys-(3-iodo)-Tyr-D-Trp-Lys-Val-Cys]-Thr-NH2		11/3/2016	Treatment of acromegaly	Designated	Not FDA Approved for Orphan Indication	Amryt Research Ltd.
melatonin		11/3/2016	Treatment of smith-magenis syndrome in combination with a beta-blocker	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
"6'-(R)-Methyl-5-O-(5-amino-5,6-dideoxy-a-L-talofuranosyl)- paromamine sulfate"		11/3/2016	Treatment of Rett syndrome	Designated	Not FDA Approved for Orphan Indication	"Eloxx Pharmaceuticals, Ltd."
fosmanogepix		11/2/2016	"Treatment of invasive rare mold infections caused by scedosporium spp., fusarium spp., and mucorales fungi (including mucor spp., and rhizopus spp.)"	Designated	Not FDA Approved for Orphan Indication	"Basilea Pharmaceutica Ltd, Allschwil"
fosmanogepix		10/26/2016	Treatment of invasive aspergillosis	Designated	Not FDA Approved for Orphan Indication	"Basilea Pharmaceutica Ltd, Allschwil"
sofosbuvir	Sovaldi	10/25/2016	Treatment of pediatric chronic hepatitis C virus infection	Designated/Approved		"Gilead Sciences, Inc."
napabucasin		10/25/2016	Treatment of pancreatic cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sumitomo Dainippon Pharma Oncology, Inc."
sofosbuvir	Sovaldi	10/25/2016	Treatment of pediatric chronic hepatitis C virus infection	Designated/Approved		"Gilead Sciences, Inc."
sofosbuvir	Sovaldi	10/25/2016	Treatment of pediatric chronic hepatitis C virus infection	Designated/Approved		"Gilead Sciences, Inc."
rapamycin		10/20/2016	Treatment of pulmonary arterial hypertention	Designated	Not FDA Approved for Orphan Indication	Lam Therapeutics
fosmanogepix		10/19/2016	Treatment of invasive candidiasis	Designated	Not FDA Approved for Orphan Indication	"Basilea Pharmaceutica Ltd, Allschwil"
macitentan and tadalafil	Opsynvi	10/19/2016	Treatment of pulmonary arterial hypertension	Designated/Approved		"Actelion Pharmaceuticals US, Inc."
Partial agonist at the opioid receptor-like 1 receptor with amino acid sequence Ac-Arg-Tyr-Tyr-Arg-Trp-Lys-Lys-Lys-Lys-Lys-Lys-Lys-NH2		10/19/2016	Treatment of pulmonary arterial hypertension	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Serodus ASA
"6-(R)-Methyl-5-O-(5-amino-5,6-dideoxy-a-L-talofuranosyl)- paromamine sulfate"		10/18/2016	Treatment of mucopolysaccharidosis type 1 (MPS I)	Designated	Not FDA Approved for Orphan Indication	"Eloxx Pharmaceuticals, Ltd."
"Combination of an inactivated purified rabies virus (IPRV) and the PIKA adjuvant (Poly I:C, kanamycin and calcium)"		10/13/2016	Treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	"Yisheng US Biopharma, Inc."
atezolizumab	TECENTRIQ	10/13/2016	Treatment of small cell lung cancer (SCLC)	Designated/Approved		"Genentech, Inc."
vorinostat		10/13/2016	"Treatment of advanced melanoma (stages IIb, IIc, III, and IV)"	Designated	Not FDA Approved for Orphan Indication	Qameleon Therapeutics
Vibrio alginolyticus collagenase		10/12/2016	Treatment of advanced Dupuytren's disease (Dupuytren's contracture)	Designated	Not FDA Approved for Orphan Indication	Fidia Farmaceutici S.p.A.
liposomal vinorelbine		10/12/2016	Treatment of cutaneous t-cell lymphoma (CTCL)	Designated	Not FDA Approved for Orphan Indication	"Taiwan Liposome Company, Ltd."
ledipasvir/sofosbuvir	Harvoni	10/12/2016	Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients	Designated/Approved		"Gilead Sciences, Inc."
ledipasvir/sofosbuvir	Harvoni	10/12/2016	Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients	Designated/Approved		"Gilead Sciences, Inc."
ledipasvir/sofosbuvir	Harvoni	10/12/2016	Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients	Designated/Approved		"Gilead Sciences, Inc."
pembrolizumab		10/11/2016	Treatment of nasopharyngeal carcinoma	Designated	Not FDA Approved for Orphan Indication	Merck Sharp & Dohme LLC
ibudilast		10/6/2016	Treatment of amyotrophic lateral sclerosis	Designated	Not FDA Approved for Orphan Indication	"MediciNova, Inc."
Recombinant human monoclonal antibody against human complement component C5a		10/6/2016	Treatment of acute graft versus host disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Alexion Pharmaceuticals, Inc."
lisocabtagene maraleucel	Breyanzi	10/4/2016	Treatment of chronic lymphocytic leukemia	Designated/Approved		"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company"
posaconazole	Noxafil	10/4/2016	Treatment of invasive aspergillosis	Designated/Approved		Merck Sharp & Dohme LLC
tacrolimus extended-release capsules	Astagraf XL	10/4/2016	"Prevention of rejection in kidney, liver or heart transplant in pediatric patients"	Designated/Approved		"Astellas Pharma Global Development, Inc."
tacrolimus	Prograf	10/4/2016	"Prevention of rejection in kidney, liver or heart transplant in pediatric patients"	Designated/Approved		"Astellas Pharma Global Development, Inc."
tacrolimus	Prograf	10/4/2016	"Prevention of rejection in kidney, liver or heart transplant in pediatric patients"	Designated/Approved		"Astellas Pharma Global Development, Inc."
tacrolimus	Prograf	10/4/2016	"Prevention of rejection in kidney, liver or heart transplant in pediatric patients"	Designated/Approved		"Astellas Pharma Global Development, Inc."
Atrasentan		9/29/2016	Treatment of pediatric nephrotic syndrome	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	AbbVie Inc.
recombinant adeno-associated virus serotype 8 vector encoding human glucose-6-phosphatase-alpha (G6Pase or G6PC)		9/28/2016	Treatment of glycogen storage disease type Ia (von Gierke Disease)	Designated	Not FDA Approved for Orphan Indication	"Ultragenyx Pharmaceutical, Inc."
Wharton's jelly mesenchymal stem cells		9/27/2016	Treatment of graft-versus-host disease	Designated	Not FDA Approved for Orphan Indication	Midwest Stem Cell Therapy Center
Autologous dendritic cell/tumor antigens		9/27/2016	Treatment of glioblastoma multiforme (GBM)	Designated	Not FDA Approved for Orphan Indication	"Ever Supreme Bio Technology, Co. Ltd."
tenofovir disoproxil fumarate		9/27/2016	Prevention of mother to child transmission of hepatitis B virus	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Gilead Sciences, Inc."
decitabine and tetrahydrouridine		9/19/2016	Treatment of sickle cell disease	Designated	Not FDA Approved for Orphan Indication	Novo Nordisk Inc.
recombinant adeno-associated virus serotype rhesus 74 expressing the human dysferin gene (AAVrh74.MHCK7.DYSF.DV)		9/19/2016	Treatment of Limb Girdle Muscular Dystrophy Type 2B	Designated	Not FDA Approved for Orphan Indication	Sarepta Therapeutics
Adeno-associated virus delivered transgene of follistatin		9/19/2016	Treatment of inclusion body myositis	Designated	Not FDA Approved for Orphan Indication	Milo Biotechnology
fixed dose combination of modafinil and flecainide		9/19/2016	Treatment of narcolepsy	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Theranexus S.A
ProTmune (ex vivo Programmed Mobilized Peripheral Blood)		9/19/2016	Prevention of graft-versus-host disease in patients undergoing allogenic hematopoietic cell transplantation	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Fate Therapeutics
tofersen	Qalsody	9/19/2016	Treatment of amyotrophic lateral sclerosis	Designated/Approved		Biogen Inc.
methylprednisolone oral suspension		9/19/2016	Treatment of adrenal insufficiency in pediatric patients	Designated	Not FDA Approved for Orphan Indication	Generic Specialty Pharma
"3-(5-amino-2-methyl-4-oxoquinazolin-3(4H)-yl)piperidine-2,6-dione hydrochloride"		9/19/2016	Treatment of diffuse large B-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	Celgene Corporation
"disulfide-stabilized single-chain variable region fragment of the anti-EGFR wild type/EGFRvIII dual specificity monoclonal antibody with variable fragments fused to a truncated version of the Pseudomonas exotoxin A, PE38, and KDEL"		9/19/2016	Treatment of glioma.	Designated	Not FDA Approved for Orphan Indication	"Darell D. Bigner, MD, PhD"
riluzole oral suspension	Tiglutik	9/15/2016	Treatment of amyotrophic lateral sclerosis (ALS).	Designated/Approved		Italfarmaco SpA
riluzole oral suspension	Tiglutik	9/15/2016	Treatment of amyotrophic lateral sclerosis (ALS).	Designated/Approved		Italfarmaco SpA
poly(lactide-co-glycolide) carboxylated microparticle		9/13/2016	Treatment of malaria	Designated	Not FDA Approved for Orphan Indication	"Cour Pharmaceutical Development Company, Inc."
emodepside		9/13/2016	"Treatment of onchocerhiasis (""river blindness"") caused by the filarial nematode onchocerca volvulus"	Designated	Not FDA Approved for Orphan Indication	"Bayer HealthCare Pharmaceuticals, Inc."
terlipressin		9/8/2016	Treatment of ascites due to all etiologies except cancer	Designated	Not FDA Approved for Orphan Indication	Bio Vie Inc.
Coversin		9/8/2016	Treatment of paroxysmal nocturnal hemoglobinuria	Designated	Not FDA Approved for Orphan Indication	Akari Therapeutics Plc
rituximab and recombinant human hyaluronidase	Rituxan SC	9/7/2016	Treatment of diffuse large B-cell lymphoma	Designated/Approved		"Genentech, Inc."
"6-fluoro-(18F)-L-3,4-dihydroxyphenylalanine"		9/7/2016	A diagnostic for management of patients with Lesch-Nyhan syndrome	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
Brentuximab vedotin	Adcetris	9/7/2016	Treatment of primary cutaneous CD30-positive T-cell lymphoproliferative disorders	Designated/Approved		Seagen Inc.
cinacalcet		9/7/2016	Treatment of secondary hyperparathyroidism (HPT) in pediatric patients with chronic kidney disease receiving dialysis	Designated	Not FDA Approved for Orphan Indication	"Amgen, Inc."
autologous CD4+/CD8+ T cells expressing a CD19 chimeric antigen receptor and a truncated epidermal growth factor receptor		9/7/2016	Treatment of acute lymphoblastic leukemia	Designated	Not FDA Approved for Orphan Indication	"Juno Therapeutics, Inc."
Cisplatin		9/6/2016	Treatment of anal cancer	Designated	Not FDA Approved for Orphan Indication	Privo Technologies
"4,5,6,7-tetrahydroisoxazolo(5,4-c)pyridin-3-ol"		9/6/2016	Treatment of Angelman syndrome.	Designated	Not FDA Approved for Orphan Indication	Ovid Therapeutics
"bilayer, engineered collagen hydrogel-based skin graft composed of autologous keratinocytes and fibroblasts"		9/6/2016	Treatment of partial deep dermal and full thickness burn wounds	Designated	Not FDA Approved for Orphan Indication	Curtiss AG
mesylate synthetic small molecule inhibitor of HDAC and PI3K		9/6/2016	Treatment of nuclear protein in testis (NUT) midline carcinoma	Designated	Not FDA Approved for Orphan Indication	"Curis, Inc."
recombinant adeno-associated virus vector serotype 9 expressing human N-Sulfoglucosamine Sulfohydrolase		9/1/2016	"Treatment of mucopolysaccharidosis type III A, also called Sanfilippo syndrome A"	Designated	Not FDA Approved for Orphan Indication	Research Institute at Nationwide Children's Hospital
dabrafenib and trametinib	Tafinlar(r) Capsules a nd Mekinist(r) Tablets	9/1/2016	Treatment of patients with anaplastic thyroid cancer and locally advanced or metastatic papillary thyroid cancer whose tumors harbor a BRAF V600 mutation.	Designated/Approved		Novartis Pharmaceuticals Corporation
Adeno-associated virus serotype 2/6 (rAAV2/6) vectors encoding zinc finger nucleases (ZFNs) and human factor 9 gene (SB-FIX)		9/1/2016	Treatment of hemophilia B	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sangamo Therapeutics, Inc."
recombinant adeno-associated virus vector serotype 9 expressing human iduronate-2-sulfatase		9/1/2016	"Treatment of mucopolysaccharidosis II, also called Hunter syndrome A."	Designated	Not FDA Approved for Orphan Indication	University of North Carolina at Chapel Hill
Angiotensin (1-7)		9/1/2016	Treatment of recessive dystrophic epidermolysis bullosa (RDEB).	Designated	Not FDA Approved for Orphan Indication	Constant Therapeutics LLC
dabrafenib and trametinib	Tafinlar(r) Capsules a nd Mekinist(r) Tablets	9/1/2016	Treatment of patients with anaplastic thyroid cancer and locally advanced or metastatic papillary thyroid cancer whose tumors harbor a BRAF V600 mutation.	Designated/Approved		Novartis Pharmaceuticals Corporation
amifampridine phosphate		8/31/2016	Treatment of myasthenia gravis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Catalyst Pharmaceuticals, Inc."
zildistrogene varoparvovec		8/31/2016	Treatment of Duchenne muscular dystrophy	Designated	Not FDA Approved for Orphan Indication	"Solid Biosciences, Inc."
humanized IgG4 monoclonal antibody to Toll-Like Receptor 2 (TLR2)		8/30/2016	Treatment of myelodysplastic syndrome	Designated	Not FDA Approved for Orphan Indication	"TLR Therapeutics, Inc."
S-ethylisothiourea diethylphosphate		8/29/2016	"Treatment of symptomatic intradialytic hypotension, including symptomatic hypotension in the immediate post-dialytic period."	Designated	Not FDA Approved for Orphan Indication	"TrioxBio, Inc."
berberine ursodeoxycholate		8/29/2016	Treatment of primary sclerosing cholangitis	Designated	Not FDA Approved for Orphan Indication	HighTide Biopharma Pty. Ltd.
anti-STAT3 (Signal Transducer and Activator of Transcription 3) B VHH13 single domain antibody		8/29/2016	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Singh Biotechnology, LLC"
131-I-8H9 monoclonal antibody		8/29/2016	Treatment of neuroblastoma	Designated	Not FDA Approved for Orphan Indication	"Y-mAbs Therapeutics, Inc."
